id_knjige,naslov,avtor,povp_ocena,st_ocen,st_recenzij,leto_izdaje,st_strani,jezik,st_trenutnih_bralcev,zanri
13132,"3rd Degree (Women's Murder Club, #3)",James Patterson,4.07,101120,2954,2005,339,English,3376,"Mystery, Fiction, Thriller, Crime, Mystery Thriller, Suspense, Audiobook, Murder Mystery, Detective, Adult"
153779,"Bloodhound (Beka Cooper, #2)",Tamora Pierce,4.28,39867,1328,2009,554,English,532,"Fantasy, Young Adult, Fiction, Magic, Mystery, Young Adult Fantasy, Adventure, High Fantasy, Audiobook, Teen"
20499240,"Foxglove Summer (Rivers of London, #5)",Ben Aaronovitch,4.21,48411,3168,2014,377,English,1040,"Fantasy, Urban Fantasy, Mystery, Fiction, Crime, Audiobook, Magic, Paranormal, Supernatural, Detective"
298568,"Night of the Soul Stealer (The Last Apprentice / Wardstone Chronicles, #3)",Joseph Delaney,4.14,31452,903,2007,489,English,536,"Fantasy, Young Adult, Horror, Fiction, Magic, Paranormal, Middle Grade, Audiobook, Witches, Supernatural"
80631,Blood Memory,Greg Iles,4.16,18051,1172,2005,800,English,1401,"Mystery, Fiction, Thriller, Suspense, Mystery Thriller, Crime, Horror, Audiobook, Thriller Suspense, Adult Fiction"
1740908,Two Caravans,Marina Lewycka,3.52,7858,730,2007,310,English,176,"Fiction, Contemporary, Humor, Novels, British Literature, Romance, Book Club, Ukraine, Literature, Adult"
2723,The Years of Rice and Salt,Kim Stanley Robinson,3.76,15239,1805,2003,763,English,1816,"Fiction, Science Fiction, Alternate History, Historical Fiction, Fantasy, Historical, Speculative Fiction, Audiobook, Science Fiction Fantasy, Religion"
25489134,"The Bear and the Nightingale (The Winternight Trilogy, #1)",Katherine Arden,4.09,225735,30652,2017,319,English,13916,"Fantasy, Historical Fiction, Fiction, Young Adult, Historical, Mythology, Audiobook, Fairy Tales, Book Club, Russia"
11890815,"Helsinki White (Inspector Kari Vaara, #3)",James Thompson,3.48,1140,215,2012,326,English,42,"Mystery, Fiction, Crime, Thriller, Nordic Noir, Scandinavian Literature, Mystery Thriller, Noir, Suspense, Detective"
6114607,"The Midwife: A Memoir of Birth, Joy, and Hard Times",Jennifer Worth,4.19,77703,8003,2009,340,English,4260,"Nonfiction, Memoir, History, Biography, Book Club, Historical, Audiobook, Biography Memoir, Autobiography, British Literature"
20522640,"Mortal Heart (His Fair Assassin, #3)",Robin LaFevers,4.1,25934,2760,2014,450,,0,"Fantasy, Young Adult, Historical Fiction, Romance, Historical, Fiction, Young Adult Fantasy, Adventure, Historical Fantasy, Mythology"
9439989,"Touch of Frost (Mythos Academy, #1)",Jennifer Estep,3.94,33742,2286,2011,384,English,649,"Fantasy, Young Adult, Mythology, Paranormal, Urban Fantasy, Magic, Romance, Supernatural, Mystery, Fiction"
386043,The Gum Thief,Douglas Coupland,3.51,10961,782,2007,275,English,184,"Fiction, Canada, Contemporary, Humor, Book Club, Literary Fiction, Novels, Literature, Comedy, Adult"
18079804,"Half Bad (The Half Bad Trilogy, #1)",Sally Green,3.78,56704,7504,2014,394,English,2142,"Fantasy, Young Adult, Paranormal, Magic, Witches, Fiction, Urban Fantasy, LGBT, Young Adult Fantasy, Supernatural"
16130537,The Humans,Matt Haig,4.08,152449,17228,2013,285,English,11144,"Fiction, Science Fiction, Fantasy, Book Club, Humor, Audiobook, Contemporary, Adult, Aliens, Novels"
31939745,"Four Princes: Henry VIII, Francis I, Charles V, Suleiman the Magnificent and the Obsessions that Forged Modern Europe",John Julius Norwich,3.83,2083,268,2017,304,English,500,"History, Nonfiction, Biography, European History, France, British Literature, Renaissance, Audiobook, Historical, 16th Century"
